Município,UF,Área destinada à colheita de Arábica,Área destinada à colheita de Canephora,Área colhida de Arábica,Área colhida de Canephora,Toneladas produzidas de Arábica,Toneladas produzidas de Canephora,Rendimento médio da produção (Quilogramas por Hectare) Arábica,Rendimento médio da produção (Quilogramas por Hectare) Canephora,Valor da produção (Mil Reais) Arábica,Valor da produção (Mil Reais) Canephora
Alta Floresta D'Oeste,RO,0,4055,0,4055,0,15362,0,3788,0,261745
Ariquemes,RO,0,370,0,370,0,1049,0,2835,0,16530
Cabixi,RO,0,24,0,24,0,72,0,3000,0,1257
Cacoal,RO,0,4990,0,4990,0,17664,0,3540,0,299228
Cerejeiras,RO,0,29,0,29,0,100,0,3448,0,1771
Colorado do Oeste,RO,0,35,0,35,0,84,0,2400,0,1478
Corumbiara,RO,0,25,0,25,0,50,0,2000,0,830
Costa Marques,RO,0,185,0,175,0,581,0,3320,0,10119
Espigão D'Oeste,RO,0,580,0,580,0,2148,0,3703,0,36752
Guajará-Mirim,RO,0,62,0,62,0,185,0,2984,0,4391
Jaru,RO,0,163,0,163,0,596,0,3656,0,9059
Ji-Paraná,RO,0,72,0,72,0,274,0,3806,0,4910
Machadinho D'Oeste,RO,0,1380,0,1380,0,4776,0,3461,0,76337
Nova Brasilândia D'Oeste,RO,0,6900,0,6900,0,27683,0,4012,0,468235
Ouro Preto do Oeste,RO,0,440,0,370,0,1104,0,2984,0,18151
Pimenta Bueno,RO,0,200,0,200,0,540,0,2700,0,8826
Porto Velho,RO,0,2595,0,2595,0,6837,0,2635,0,115133
Presidente Médici,RO,0,265,0,265,0,1064,0,4015,0,19514
Rio Crespo,RO,0,112,0,112,0,331,0,2955,0,5367
Rolim de Moura,RO,0,1420,0,1420,0,5451,0,3839,0,99326
Santa Luzia D'Oeste,RO,0,700,0,700,0,2464,0,3520,0,41685
Vilhena,RO,0,38,0,37,0,104,0,2811,0,1757
São Miguel do Guaporé,RO,0,4175,0,4175,0,16094,0,3855,0,281646
Nova Mamoré,RO,0,260,0,260,0,615,0,2365,0,12208
Alvorada D'Oeste,RO,0,1290,0,1290,0,5394,0,4181,0,97658
Alto Alegre dos Parecis,RO,0,4088,0,4088,0,15351,0,3755,0,260929
Alto Paraíso,RO,0,344,0,344,0,959,0,2788,0,14851
Buritis,RO,0,4450,0,4450,0,10635,0,2390,0,170605
Novo Horizonte do Oeste,RO,0,1630,0,1630,0,5980,0,3669,0,101397
Cacaulândia,RO,0,36,0,36,0,58,0,1611,0,909
Campo Novo de Rondônia,RO,0,430,0,430,0,837,0,1947,0,14062
Candeias do Jamari,RO,0,197,0,197,0,837,0,4249,0,16974
Castanheiras,RO,0,90,0,90,0,345,0,3833,0,5839
Chupinguaia,RO,0,48,0,48,0,109,0,2271,0,1711
Cujubim,RO,0,250,0,250,0,910,0,3640,0,14537
Governador Jorge Teixeira,RO,0,270,0,270,0,954,0,3533,0,16313
Itapuã do Oeste,RO,0,39,0,39,0,102,0,2615,0,2318
Ministro Andreazza,RO,0,1395,0,1395,0,5235,0,3753,0,87915
Mirante da Serra,RO,0,460,0,460,0,1920,0,4174,0,34925
Monte Negro,RO,0,212,0,212,0,701,0,3307,0,11871
Nova União,RO,0,100,0,100,0,362,0,3620,0,6355
Parecis,RO,0,420,0,420,0,1512,0,3600,0,25700
Pimenteiras do Oeste,RO,0,18,0,18,0,39,0,2167,0,748
Primavera de Rondônia,RO,0,180,0,180,0,590,0,3278,0,9966
São Felipe D'Oeste,RO,0,207,0,207,0,780,0,3768,0,13150
São Francisco do Guaporé,RO,0,783,0,783,0,3217,0,4109,0,56352
Seringueiras,RO,0,1321,0,1321,0,5003,0,3787,0,88553
Teixeirópolis,RO,0,46,0,46,0,124,0,2696,0,2176
Theobroma,RO,0,320,0,320,0,1248,0,3900,0,19261
Urupá,RO,0,118,0,118,0,358,0,3034,0,5987
Vale do Anari,RO,0,330,0,330,0,1065,0,3227,0,17501
Vale do Paraíso,RO,0,120,0,120,0,379,0,3158,0,6806
Acrelândia,AC,0,550,0,550,0,1725,0,3136,0,26387
Assis Brasil,AC,0,45,0,45,0,67,0,1489,0,972
Brasiléia,AC,0,80,0,80,0,176,0,2200,0,2464
Bujari,AC,0,4,0,4,0,7,0,1750,0,102
Capixaba,AC,0,7,0,7,0,10,0,1429,0,142
Cruzeiro do Sul,AC,0,32,0,32,0,113,0,3531,0,1538
